time,measured,sim_initial,sim_optimized
8.98,5.211394921391915,5.015546089084753,5.012084068528191
9.0,5.211165738273864,5.0151074709275765,5.0118078801252945
9.02,5.204061061614242,5.014670943570519,5.011536937670575
9.04,5.210821963596785,5.014237570951791,5.011271090533987
9.06,5.21053548469922,5.0138078316244306,5.0110104026117055
9.08,5.210363597360681,5.0133826848995575,5.010754848334261
9.1,5.203258920701058,5.012962547466747,5.0105043416504795
9.12,5.203201624921546,5.012548191612171,5.010258981761938
9.14,5.203087033362519,5.012140044351933,5.010018547227639
9.16,5.2099052311245755,5.0117386488839495,5.00978323775738
9.18,5.202972441803492,5.01134447629843,5.009552734749576
9.2,5.202972441803492,5.010957837263774,5.009327290820866
9.22,5.209962526904088,5.010579244726286,5.009106551437054
9.24,5.2099052311245755,5.010208809275343,5.008890754096876
9.26,5.209962526904088,5.009847048760314,5.008679585044624
9.28,5.2099052311245755,5.009493940994761,5.008473197010216
9.3,5.217812048697381,5.009149939786426,5.008271372325156
9.32,5.217754752917868,5.008814985660941,5.008074140421233
9.34,5.216838020445659,5.008489389169346,5.007881407140692
9.36,5.217812048697381,5.008173128347072,5.007693065486944
9.38,5.217926640256407,5.007866328492665,5.007509148143232
9.4,5.216952612004684,5.007569040837512,5.007329421659966
9.42,5.217067203563711,5.007281201880739,5.0071540259695695
9.44,5.216952612004684,5.007002935971638,5.006982633634001
9.46,5.224802133797977,5.006734020897722,5.006815449911892
9.48,5.216780724666146,5.00647462082349,5.006652107752613
9.5,5.216723428886633,5.0062244169237955,5.00649281515939
9.52,5.216723428886633,5.005983549438841,5.00633723786454
9.54,5.217640161358841,5.0057516916183316,5.006185517880044
9.56,5.217582865579329,5.005528884752551,5.0060374106201655
9.58,5.217754752917868,5.0053148650707655,5.005892949626101
9.6,5.217812048697381,5.005109532871239,5.005752010213791
9.62,5.224744838018465,5.004912721321583,5.0056145005312285
9.64,5.217754752917868,5.004724183913842,5.005480422584409
9.66,5.216780724666146,5.004543851011366,5.005349564249431
9.68,5.216666133107119,5.00437135439828,5.005222039094114
9.7,5.216666133107119,5.004206690985389,5.005097541392336
9.72,5.20961875222701,5.004049425307968,5.004976259708301
9.74,5.209676048006524,5.003899561605856,5.004857842481603
9.76,5.217640161358841,5.003756676978108,5.004742496073177
9.78,5.209733343786036,5.003620711516357,5.00462989044609
9.8,5.203029737583006,5.003491320770212,5.004520182526127
9.82,5.202857850244467,5.003368337434577,5.004413122694838
9.84,5.209733343786036,5.00325152754913,5.0043087713428145
9.86,5.20274325868544,5.0031406069746325,5.004206992798978
9.88,5.188820384263762,5.003035453016627,5.004107730030081
9.9,5.188820384263762,5.00293568379513,5.004010971816067
9.92,5.188820384263762,5.002841259988831,5.003916544023336
9.94,5.188877680043275,5.002751748433785,5.003824549290172
9.96,5.175069397180621,5.002667138207568,5.003734717547148
9.98,5.175183988739648,5.002587016268368,5.003647233960766
10.0,5.175069397180621,5.002511400400138,5.003561832142586
