roll_actual,pitch_actual,yaw_actual,roll_cmd,pitch_cmd,yaw_cmd,throttle_cmd,throttle_1,throttle_2,throttle_3,throttle_4,roll_modeled,pitch_modeled,yaw_modeled
0.2,-1.3,-4.7,1.7,-0.0,-0.0,2.0,0.3,0.2,0.3,0.3,7.1,50245.9,-6.4
0.2,-1.3,-4.7,1.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,8.1,50256.1,-7.7
0.2,-1.3,-4.7,1.8,-0.0,-0.0,2.0,0.3,0.2,0.3,0.3,9.5,50266.2,-9.2
0.3,-1.3,-4.7,1.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,11.4,50276.2,-11.4
0.3,-1.3,-4.7,1.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,14.3,50286.0,-14.7
0.3,-1.3,-4.7,1.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,19.5,50295.7,-20.3
0.3,-1.3,-4.7,1.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,31.6,50305.0,-32.9
0.3,-1.3,-4.7,2.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,87.8,50313.4,-89.7
0.3,-1.3,-4.7,2.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-74.0,50314.0,71.6
0.4,-1.3,-4.7,2.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,56.2,50316.4,-60.0
0.4,-1.3,-4.7,2.1,-0.0,-0.0,2.0,0.3,0.2,0.3,0.3,-12.9,50321.9,9.0
0.4,-1.3,-4.7,2.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-2.5,50330.9,-2.5
0.4,-1.3,-4.7,2.1,-0.0,-0.0,2.0,0.3,0.2,0.3,0.3,-1.0,50340.1,-4.5
0.4,-1.3,-4.7,2.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.8,50349.2,-5.5
0.4,-1.3,-4.7,2.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.9,50358.3,-6.2
0.5,-1.3,-4.7,2.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.0,50367.2,-6.9
0.5,-1.3,-4.7,2.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.1,50376.1,-7.4
0.5,-1.3,-4.7,2.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.2,50385.0,-8.0
0.6,-1.3,-4.7,2.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.2,50393.8,-8.5
0.6,-1.3,-4.7,2.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.2,50402.6,-9.0
0.6,-1.3,-4.7,2.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.2,50411.3,-9.6
0.7,-1.3,-4.7,2.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.2,50420.1,-10.1
0.7,-1.3,-4.7,2.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.2,50428.9,-10.7
0.7,-1.3,-4.7,2.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.2,50437.7,-11.3
0.7,-1.3,-4.7,2.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.2,50446.6,-11.9
0.8,-1.3,-4.7,2.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.3,50455.5,-12.7
0.9,-1.3,-4.7,2.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.6,50464.5,-13.7
0.9,-1.3,-4.7,2.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-2.2,50473.6,-15.0
0.9,-1.3,-4.7,2.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-3.9,50482.8,-17.5
1.0,-1.3,-4.7,2.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-10.7,50492.0,-25.2
1.0,-1.3,-4.7,2.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,49.7,50501.2,34.1
1.1,-1.3,-4.7,2.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,15.8,50507.6,-1.9
1.1,-1.3,-4.7,2.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,9.9,50516.9,-9.3
1.2,-1.3,-4.7,2.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,9.1,50526.5,-12.0
1.2,-1.3,-4.7,2.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,9.6,50536.2,-13.8
1.3,-1.3,-4.7,2.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,10.6,50545.9,-15.5
1.4,-1.3,-4.7,2.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,11.7,50555.7,-17.1
1.4,-1.3,-4.7,2.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,13.0,50565.4,-18.8
1.5,-1.3,-4.7,2.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,14.5,50575.2,-20.6
1.5,-1.3,-4.7,3.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,16.2,50584.9,-22.6
1.6,-1.3,-4.7,3.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,18.1,50594.5,-24.9
1.6,-1.3,-4.7,3.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,20.4,50604.0,-27.5
1.7,-1.3,-4.7,3.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,23.2,50613.4,-30.7
1.8,-1.3,-4.7,3.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,26.7,50622.5,-34.7
1.8,-1.3,-4.7,3.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,31.4,50631.4,-39.9
1.9,-1.3,-4.7,3.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,37.9,50639.9,-47.0
2.0,-1.3,-4.7,3.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,47.8,50647.7,-57.7
2.1,-1.3,-4.7,3.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,64.0,50654.5,-74.8
2.2,-1.3,-4.7,3.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,93.0,50659.1,-104.8
2.2,-1.3,-4.7,3.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,140.5,50659.3,-153.3
2.3,-1.3,-4.7,3.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,173.6,50652.8,-187.3
2.3,-1.3,-4.7,3.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,178.6,50644.0,-193.1
2.4,-1.3,-4.7,3.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,179.8,50635.1,-195.3
2.5,-1.3,-4.7,3.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,180.1,50626.4,-196.7
2.6,-1.3,-4.7,3.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,179.8,50617.7,-197.9
2.7,-1.3,-4.7,3.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,179.3,50609.0,-198.9
2.8,-1.3,-4.7,3.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,178.6,50600.4,-200.0
2.8,-1.3,-4.7,3.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,177.7,50591.8,-201.1
2.9,-1.3,-4.7,3.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,176.7,50583.3,-202.3
3.0,-1.3,-4.7,3.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,175.5,50574.8,-203.7
3.0,-1.3,-4.7,3.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,174.1,50566.2,-205.2
3.1,-1.3,-4.7,3.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,172.4,50557.7,-207.0
3.2,-1.3,-4.7,3.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.2,170.3,50549.2,-209.2
3.3,-1.3,-4.8,3.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,167.7,50540.7,-212.0
3.4,-1.3,-4.8,3.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,164.3,50532.2,-215.6
3.4,-1.3,-4.8,3.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,159.7,50523.9,-220.5
3.5,-1.3,-4.8,3.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,152.9,50515.7,-227.6
3.6,-1.3,-4.8,3.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,141.9,50507.9,-239.2
3.6,-1.3,-4.8,3.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,121.8,50501.2,-260.1
3.7,-1.3,-4.8,3.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,79.4,50497.0,-303.8
3.8,-1.3,-4.8,3.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,6.4,50499.7,-378.5
3.9,-1.3,-4.8,3.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.2,7.6,50509.3,-379.0
3.9,-1.3,-4.8,3.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,9.0,50519.0,-379.7
